HRR,Total Hospital Beds,Available Hospital Beds,Total ICU Beds,Available ICU Beds
"Abilene, TX",980,565,127,68
"Akron, OH",1358,518,186,94
"Alameda County, CA",2695,665,293,139
"Albany, GA",704,221,60,27
"Albany, NY",4804,1579,425,193
"Albuquerque, NM",2908,1102,380,161
"Alexandria, LA",917,402,43,20
"Allentown, PA",3267,1267,334,143
"Altoona, PA",555,234,61,27
"Amarillo, TX",1236,678,194,79
"Anchorage, AK",1583,533,130,55
"Ann Arbor, MI",3014,876,406,122
"Appleton, WI",448,222,72,37
"Arlington, VA",3116,995,450,173
"Asheville, NC",1541,556,232,76
"Atlanta, GA",12780,3338,1621,436
"Augusta, GA",2194,831,349,106
"Aurora, IL",527,286,55,25
"Austin, TX",2775,1003,393,161
"Bakersfield, CA",2429,692,191,88
"Baltimore, MD",6931,1887,844,303
"Bangor, ME",1094,400,100,28
"Baton Rouge, LA",2898,1159,249,119
"Beaumont, TX",908,421,114,43
"Bend, OR",415,182,38,17
"Billings, MT",2432,931,148,65
"Binghamton, NY",1005,365,54,17
"Birmingham, AL",7297,2756,991,342
"Bismarck, ND",970,422,80,43
"Bloomington, IL",394,201,35,10
"Blue Island, IL",2053,583,308,118
"Boise, ID",1773,848,186,95
"Boston, MA",10239,2548,1157,438
"Boulder, CO",640,297,90,43
"Bradenton, FL",822,342,104,49
"Bridgeport, CT",1354,370,132,65
"Bronx, NY",4012,807,282,115
"Bryan, TX",579,317,64,34
"Buffalo, NY",4713,1228,323,95
"Burlington, VT",1743,587,117,65
"Camden, NJ",6527,2294,701,293
"Canton, OH",1441,706,209,97
"Cape Girardeau, MO",859,398,80,43
"Casper, WY",633,378,32,20
"Cedar Rapids, IA",799,364,44,22
"Charleston, SC",3013,975,329,101
"Charleston, WV",2620,1167,284,97
"Charlotte, NC",4873,1465,770,249
"Charlottesville, VA",1326,433,155,35
"Chattanooga, TN",1928,651,247,59
"Chicago, IL",7764,3161,912,312
"Chico, CA",537,153,51,23
"Cincinnati, OH",3808,1537,567,185
"Clearwater, FL",1571,719,160,44
"Cleveland, OH",7233,2631,885,306
"Colorado Springs, CO",1295,555,149,62
"Columbia, MO",1883,901,199,77
"Columbia, SC",3026,1053,398,151
"Columbus, GA",1105,547,75,33
"Columbus, OH",6449,2792,679,235
"Contra Costa County, CA",1727,675,203,81
"Corpus Christi, TX",1135,357,167,38
"Covington, KY",828,280,93,39
"Dallas, TX",10585,3679,1292,450
"Danville, PA",1664,510,171,33
"Davenport, IA",1614,699,139,66
"Dayton, OH",2070,749,294,89
"Dearborn, MI",1439,462,188,95
"Denver, CO",5593,2269,843,325
"Des Moines, IA",2760,1193,173,76
"Detroit, MI",4123,1333,509,163
"Dothan, AL",1335,504,108,33
"Dubuque, IA",518,228,18,8
"Duluth, MN",1319,508,217,73
"Durham, NC",4505,1125,790,241
"East Long Island, NY",9897,1230,928,235
"El Paso, TX",2086,753,274,51
"Elgin, IL",1239,475,142,67
"Elmira, NY",1036,361,94,14
"Elyria, OH",453,214,63,21
"Erie, PA",1904,706,184,88
"Eugene, OR",1208,416,138,64
"Evanston, IL",2032,666,332,137
"Evansville, IN",2154,1050,328,157
"Everett, WA",951,319,83,26
"Fargo/Moorhead MN, ND",1872,734,180,48
"Flint, MI",1375,458,161,58
"Florence, SC",1248,481,224,79
"Fort Collins, CO",704,341,31,14
"Fort Lauderdale, FL",7323,2753,908,292
"Fort Myers, FL",3115,1089,268,97
"Fort Smith, AR",931,487,87,55
"Fort Wayne, IN",2442,1038,376,143
"Fort Worth, TX",4200,1400,501,187
"Fresno, CA",1935,547,205,77
"Gainesville, FL",1834,469,303,88
"Gary, IN",1434,638,179,95
"Grand Forks, ND",952,374,31,18
"Grand Junction, CO",696,321,75,33
"Grand Rapids, MI",2440,957,236,86
"Great Falls, MT",937,367,50,27
"Greeley, CO",792,396,79,28
"Green Bay, WI",990,498,112,43
"Greensboro, NC",1224,362,135,47
"Greenville, NC",1977,631,339,115
"Greenville, SC",2217,798,282,41
"Gulfport, MS",609,287,80,40
"Hackensack, NJ",3819,1057,175,98
"Harlingen, TX",1145,536,120,44
"Harrisburg, PA",2426,929,211,61
"Hartford, CT",2855,751,323,115
"Hattiesburg, MS",1546,504,85,30
"Hickory, NC",603,253,64,25
"Hinsdale, IL",1041,402,172,89
"Honolulu, HI",2623,795,219,73
"Houma, LA",707,399,65,32
"Houston, TX",14062,5130,1790,652
"Hudson, FL",1188,329,160,45
"Huntington, WV",1561,382,162,64
"Huntsville, AL",1804,569,248,59
"Idaho Falls, ID",492,269,44,24
"Indianapolis, IN",7441,3350,1081,403
"Iowa City, IA",1414,538,147,64
"Jackson, MS",4425,1964,406,149
"Jackson, TN",1063,423,115,57
"Jacksonville, FL",4947,1625,618,183
"Johnson City, TN",956,342,94,39
"Johnstown, PA",741,426,44,25
"Joliet, IL",1376,662,149,53
"Jonesboro, AR",975,403,76,23
"Joplin, MO",1045,507,124,71
"Kalamazoo, MI",1462,681,139,21
"Kansas City, MO",6736,2646,795,286
"Kettering, OH",923,412,138,42
"Kingsport, TN",1485,668,185,75
"Knoxville, TN",3193,1198,299,74
"La Crosse, WI",650,286,78,44
"Lafayette, IN",457,193,34,14
"Lafayette, LA",1716,700,188,87
"Lake Charles, LA",830,424,81,44
"Lakeland, FL",1046,382,103,57
"Lancaster, PA",1081,468,98,40
"Lansing, MI",1444,632,240,115
"Las Vegas, NV",4165,1088,761,162
"Lawton, OK",733,346,76,32
"Lebanon, NH",939,333,105,56
"Lexington, KY",5045,2073,579,172
"Lincoln, NE",2047,1016,116,33
"Little Rock, AR",4854,2174,520,177
"Longview, TX",224,98,45,21
"Los Angeles, CA",19492,6594,2415,942
"Louisville, KY",4162,1700,506,165
"Lubbock, TX",1811,922,298,85
"Lynchburg, VA",1174,309,55,20
"Macon, GA",2295,865,240,57
"Madison, WI",2443,838,267,121
"Manchester, NH",1603,582,137,53
"Manhattan, NY",14834,3059,1427,616
"Marquette, MI",601,276,47,18
"Marshfield, WI",706,281,68,34
"Mason City, IA",470,239,18,6
"McAllen, TX",1938,849,350,133
"Medford, OR",855,369,72,25
"Melrose Park, IL",2902,1122,334,137
"Memphis, TN",5054,2045,543,139
"Meridian, MS",1117,445,57,19
"Mesa, AZ",2091,648,291,108
"Metairie, LA",857,406,111,44
